seed,noise_rate,lambda,p_over_n,D,train_mse,test_mse,train_acc,test_acc,solution_norm,regularized_condition_number,effective_degrees_of_freedom,min_singular_value,max_singular_value
42,0.1,0.1,1.2,1200,0.006568387457553817,0.047898568963261785,99.4,82.92,25.480740538353075,1579.820669203657,656.1950847327654,0.03857613041814926,12.658318460171119
42,0.1,0.0,1.5,1500,2.154092393730768e-30,0.12044651130411556,100.0,61.86000000000001,56.60571617872533,43150.44860714955,999.999999988979,0.061719290846775035,12.820754526615277
42,0.1,1e-06,1.5,1500,1.538809627135563e-11,0.12043730137864099,100.0,61.86000000000001,56.60299748337614,43139.124108967306,999.9889796429849,0.061719290846775035,12.820754526615277
42,0.1,0.0001,1.5,1500,1.5038675046661936e-07,0.11954112049984691,100.0,62.13999999999999,56.33786166967325,42046.67632602808,998.9054177798114,0.061719290846775035,12.820754526615277
42,0.1,0.01,1.5,1500,0.0004678748382672035,0.08240940693359348,100.0,71.34,44.01100982905117,11903.723829227105,925.2832635597745,0.061719290846775035,12.820754526615277
42,0.1,0.1,1.5,1500,0.005077554016624697,0.04470427299317882,99.5,84.05,25.704686540984547,1584.3647225821685,690.2634107469328,0.061719290846775035,12.820754526615277
42,0.1,0.0,2.0,2000,1.6525418655906187e-30,0.07128197486906039,100.0,75.9,46.23135913729725,25712.07313810501,999.9999999926956,0.07884368532248881,12.642572806913275
42,0.1,1e-06,2.0,2000,4.636360744378253e-12,0.07127989256817245,100.0,75.9,46.230356237063965,25707.93775185226,999.9926958872801,0.07884368532248881,12.642572806913275
42,0.1,0.0001,2.0,2000,4.58433432149487e-08,0.07107548305492115,100.0,75.98,46.131808232599575,25305.015776442688,999.2723216140429,0.07884368532248881,12.642572806913275
42,0.1,0.01,2.0,2000,0.00022493591101662837,0.059161146341316063,100.0,79.85,39.984175727401144,9857.019409208404,943.1890137140381,0.07884368532248881,12.642572806913275
42,0.1,0.1,2.0,2000,0.003902325004594789,0.03875147303271823,99.5,86.36,25.80091962992061,1505.7444756764314,720.8218177784818,0.07884368532248881,12.642572806913275
42,0.2,0.0,0.8,800,0.009670286508500906,0.28638281623987455,99.7,42.0,69.15172758476787,33805.75650770866,799.9999999912804,0.06845865852221115,12.587042954342536
42,0.2,1e-06,0.8,800,0.009670286539376818,0.2863498361759228,99.7,42.0,69.14726223272247,33798.54496880383,799.9912809576349,0.06845865852221115,12.587042954342536
42,0.2,0.0001,0.8,800,0.009670588385447532,0.28314014958845035,99.7,42.14,68.71128610467306,33099.51739359206,799.133611240356,0.06845865852221115,12.587042954342536
42,0.2,0.01,0.8,800,0.01051653890966568,0.15838218179155322,99.2,53.239999999999995,48.83359056922584,10788.32272857875,741.2333215355661,0.06845865852221115,12.587042954342536
42,0.2,0.1,0.8,800,0.01630344797558763,0.06625205643250257,97.89999999999999,73.29,25.62870324185263,1514.3644804387593,566.4044810231911,0.06845865852221115,12.587042954342536
42,0.2,0.0,0.9,900,0.00458546767285917,0.5772470173273819,99.9,31.56,107.48010033754318,169008.6870392284,899.9999999755755,0.0307857090884341,12.656210088546652
42,0.2,1e-06,0.9,900,0.004585468000949275,0.576937476017164,99.9,31.56,107.4495621974371,168830.55185363733,899.9755832139758,0.0307857090884341,12.656210088546652
42,0.2,0.0001,0.9,900,0.004588433809244372,0.5485516097610555,99.9,32.269999999999996,104.61043214824849,152878.30374077611,897.6296940330639,0.0307857090884341,12.656210088546652
42,0.2,0.01,0.9,900,0.006518048020316303,0.17033265408246145,99.4,51.29,53.824104992897624,14632.185533992957,802.396092336582,0.0307857090884341,12.656210088546652
42,0.2,0.1,0.9,900,0.013413812601919779,0.06610970706148102,98.4,73.17,26.607764442072888,1587.7484947609091,597.3850620914911,0.0307857090884341,12.656210088546652
42,0.2,0.0,0.95,950,0.0023004752162435857,1.243163207951972,100.0,22.56,164.38658024520953,666222.8137411844,949.9999999413251,0.015309134634451719,12.495694346561354
42,0.2,1e-06,0.95,950,0.002300478723207919,1.240037181967764,100.0,22.56,164.1728198155625,663392.2819379957,949.9414021190419,0.015309134634451719,12.495694346561354
42,0.2,0.0001,0.95,950,0.0023232616846030224,1.016129179539491,100.0,24.4,148.0805387712095,466975.69301252364,944.7592499637582,0.015309134634451719,12.495694346561354
42,0.2,0.01,0.95,950,0.005232389212358166,0.17445172502089304,99.7,50.19,56.081216328766565,15257.644902037739,825.9607338160888,0.015309134634451719,12.495694346561354
42,0.2,0.1,0.95,950,0.012695338313326808,0.06512897225555438,98.4,73.00999999999999,27.001014257066448,1558.7704878188847,609.6560319513136,0.015309134634451719,12.495694346561354
42,0.2,0.0,0.98,980,0.0008752474896029504,2.7966519461235952,100.0,19.61,252.52080390304394,4344037.257439967,979.9999998273702,0.005945346984517711,12.391502903895528
42,0.2,1e-06,0.98,980,0.0008752968962646339,2.752824340655338,100.0,19.72,250.5399934612195,4224522.197199546,979.8290963763523,0.005945346984517711,12.391502903895528
42,0.2,0.0001,0.98,980,0.000978881909746774,1.4144826432362525,100.0,23.549999999999997,178.90664181943527,1134485.9743842334,969.4124918972341,0.005945346984517711,12.391502903895528
42,0.2,0.01,0.98,980,0.00425592226086528,0.1757833763395551,99.8,49.370000000000005,57.23318697712656,15301.846753305916,837.8964258673323,0.005945346984517711,12.391502903895528
42,0.2,0.1,0.98,980,0.012072635197901367,0.06488679683064275,98.4,72.65,27.437662833487767,1535.9505274238884,615.3587940080552,0.005945346984517711,12.391502903895528
42,0.2,0.0,1.0,1000,8.993494670752233e-28,129.24527399655733,100.0,11.29,1728.862965652075,1041013733.1675506,999.9999912835452,0.00038801913477644047,12.519379793877471
42,0.2,1e-06,1.0,1000,4.604252027488744e-05,24.824967967763875,100.0,12.53,760.3335855567916,136224993.24221593,997.7458615046934,0.00038801913477644047,12.519379793877471
42,0.2,0.0001,1.0,1000,0.00043854821614871896,1.65294713990786,100.0,20.13,194.32507307111945,1564993.4680817467,981.664528586901,0.00038801913477644047,12.519379793877471
42,0.2,0.01,1.0,1000,0.004053799780801942,0.17292891875385302,99.9,50.980000000000004,57.6814998013098,15674.251052615082,845.9093806948242,0.00038801913477644047,12.519379793877471
42,0.2,0.1,1.0,1000,0.011952637503354074,0.0624732905426772,98.1,74.97,27.328173546169577,1568.3463429492733,620.8926013274082,0.00038801913477644047,12.519379793877471
